text,intent
hey I'm not doing well emotionally,emotional-support
will you just listen for a bit!,emotional-support
how are you doing?,small-talk
I feel like nobody understands me hmm,emotional-support
I don't know what to do about my grades yo,emotional-support
see you later?,small-talk
take care of pick up prescriptions,action-item
I need a reminder to water the plants,reminder
ORGANIZE FEED THE CAT,action-item
reminder: call the dentist?,reminder
I miss the way things were?,emotional-support
hey I need a reminder to file taxes,reminder
please remind me to pay the bills after work,reminder
beautiful day isn't it um,small-talk
so I'm feeling really lonely uh,emotional-support
nobody cares about how I feel,emotional-support
hope you're well?,small-talk
schedule feed the cat,action-item
um have you tried my grades,small-talk
review the call mom,action-item
please update my resume,action-item
what's up uh!,small-talk
Anything New,small-talk
reminder: feed the cat!,reminder
good morning um,small-talk
hey oh really,small-talk
I don't know what to do about everything um,emotional-support
um schedule a reminder for water the plants,reminder
hey there,small-talk
I don't know what to do about the future,emotional-support
Finish Take The Medicine By Tomorrow,action-item
don't forget to clean the house so,reminder
it hurts that losing my friend,emotional-support
well finish check the mail by tomorrow!!,action-item
yo I just want someone to understand,emotional-support
I'm anxious about the weather...,emotional-support
i feel overwhelmed by that new movie?,emotional-support
ping me to buy groceries at tonight,reminder
would you mind fixing the bug,action-item
long time no see well?,small-talk
hey submit the clean the house,action-item
hope you're well yo,small-talk
Yo I Need Someone To Talk To,emotional-support
let's send the email,action-item
so don't forget to clean the house,reminder
things have been really hard lately...,emotional-support
schedule pick up prescriptions...,action-item
DON'T LET ME FORGET TO CLEAN THE HOUSE,reminder
how was your day,small-talk
create a file taxes yo like,action-item
uh could you do the laundry,action-item
I'M Really Struggling With That New Movie,emotional-support
did you see my relationship yesterday,small-talk
fix the call the dentist,action-item
please remind me to send the email at noon,reminder
send return the library books to the team,action-item
how are you doing,small-talk
I feel so hurt,emotional-support
hey I feel so depressed!!,emotional-support
HOW'S IT GOING UM,small-talk
add clean the house to my pingers?,reminder
arrange file taxes for the meeting,action-item
it slipped my mind to call the doctor,reminder
would you mind reviewing the document so,action-item
let's charge my phone,action-item
yo that's interesting,small-talk
"I should file taxes, ping me!",reminder
hey oh really like,small-talk
uh why does everything go wrong for me,emotional-support
I'm so overwhelmed right now,emotional-support
so I miss the way things were,emotional-support
schedule a notifyer for go to the gym hey,reminder
HANDLE BACKUP MY FILES PLEASE,action-item
how was your weekend,small-talk
Reminder: Call Mom,reminder
how was your vacation...,small-talk
I need someone to talk to,emotional-support
right right,small-talk
I'm not doing well emotionally!!,emotional-support
Arrange Renew My Subscription For The Meeting,action-item
I need a reminder to go to the gym,reminder
like note to self: clean the house,reminder
can you alert me about feed the cat like,reminder
review the go to the gym so well,action-item
I don't know what to do about my grades,emotional-support
I just want someone to understand...,emotional-support
I'M FEELING ANXIOUS TODAY,emotional-support
Finish Water The Plants By Tomorrow?,action-item
What'S New With You!,small-talk
I cried about school today,emotional-support
can you file taxes for me,action-item
I need to remember to renew my subscription,reminder
